NAME,PRICE,MILES,IGNORE
-,kawasaki ninja 300,"Washington, DC",2995.38
2014 Kawasaki ninja,2300,-1
2023 Kawasaki ninja,5800,300
2023 Kawasaki ninja,6000,347
2021 Kawasaki ninja,3900,10000
2021 Kawasaki ex400 ninja,5090,-1
2009 Kawasaki ninja,3000,40000
2023 Kawasaki ninja 400 abs,1234,-1
2022 Kawasaki ninja,5500,-1
2011 Kawasaki,2000,6000
2021 Kawasaki ninja,6800,-1
2014 Kawasaki ninja,3200,10000
2013-2017 Kawasaki Ninja 300 fairings,-2,-1
2013 Kawasaki ninja,3000,17000
2021 Kawasaki ninja,4800,11000
-,kawasaki ninja 300,"San Francisco, CA",3419.54
2017 Kawasaki ninja,3500,17000
2017 Kawasaki ninja 300 abs,4600,12000
2016 Kawasaki ninja,4500,-1
2012 Kawasaki ninja,1999,-1
2021 Kawasaki ninja,5900,-1
2019 Kawasaki z,4800,-1
2012 Kawasaki ninja ex250,3300,11000
2020 Kawasaki ninja,4500,2000
2012 Kawasaki ninja,2500,-1
2011 Hyosung gt250r,2500,300
2006 Kawasaki ninja zx-6r 600j,-2,-1
Kawasaki ninja 250,2850,-1
2014 Kawasaki ninja,-2,19000
2017 Kawasaki Ninja 300 ABS,4100,-1
2012 Kawasaki ninja,5800,14000
2014 Kawasaki ninja,3250,-1
2014 Kawasaki Ninja,2000,-1
2017 Kawasaki versys x300,3400,15000
2017 Kawasaki ninja 300 abs,3500,18000
2012 Kawasaki ninja,2700,8000
2017 Kawasaki ninja,2900,-1
2023 Kawasaki ninja,5670,900
2013 Kawasaki ninja,5000,-1
2008 Kawasaki ninja,2800,14000
-,yamaha r3,"Washington, DC",3668.29
2015 Yamaha yzf r3,3800,8000
2015 Yamaha yzf,3800,-1
Yamaha R3 320 CC 2015 8k,3500,-1
2019 Yamaha yzf,5200,-1
2014 Kawasaki ninja,3800,-1
2021 Yamaha yzf,4500,700
2023 Yamaha yz85bw,3500,12000
2018 Honda cbr,3800,-1
2015 yamaha yzf r3 (READ DESCRIPTION),3200,-1
2018 Suzuki,3000,-1
2011 Yamaha fz,3240,23000
2015 Yamaha yzf-r1,4500,-1
2021 Yamaha yzf,3800,-1
2013 Honda crb,3500,9000
dainese racing suit,-2,-1
2023 Yamaha yzf,6000,-1
Yamaha R3 2016 milla 6.365,4500,-1
2016 Kawasaki ex300,3600,-1
2020 Kawasaki ninja ex400 glf abs,3999,675
2018 Honda cbr,3300,3000
2021 Yamaha r3,4200,9000
2020 Yamaha mt,5100,-1
2008 Kawasaki ninja,1800,-1
2014 Kawasaki ninja 300 abs se,2400,-1
-,yamaha r3,"Richmond, VA",4477.08
2015 Yamaha yzf,4000,-1
2004 Yamaha yzf,3700,30000
2020 Yamaha r3,4500,-1
2015 Yamaha FZ07,4600,-1
2023 Yamaha yzf,6500,300
2016 Kawasaki ninja 300,2500,-1
2010 Yamaha 950 v star,3900,-1
2016 Kawasaki Ninja,5000,-1
2015 Yamaha yzf,3800,-1
2015 Yamaha yzf r3,3800,8000
2021 Yamaha yzf,4500,700
2020 Yamaha yzf,5500,6000
2016 Kawasaki ninja 300 abs,3500,-1
2014 Kawasaki ninja,3800,-1
2022 Yamaha r7,9500,-1
2023 Yamaha yz85bw,3500,12000
2023 Kawasaki ninja,5000,300
2016 Yamaha R3,3950,-1
Ninja Kawasaki 400 2018,4300,-1
2009 Yamaha fz,3500,20000
2022 Yamaha mt,4000,-1
2019 Yamaha yzf,5200,-1
Yoshi slip on,-2,-1
2023 Yamaha r7,8900,15000
-,yamaha r3,"Orlando, FL",4049.83
2017 Yamaha yzf,4200,-1
2021 Yamaha yzf,4950,-1
2014 Kawasaki ninja,-2,20000
2017 Yamaha yzf,2800,26000
2024 Yamaha yzfr,5499,-1
2016 Yamaha yzfr,2900,-1
Yamaha bike,4000,-1
300 Yamaha,3000,-1
2024 Yamaha yzf,5499,300
2024 Yamaha yzf,5499,300
2017 Yamaha yfz r3,3400,5000
2020 Yamaha yzf,3300,6000
2017 Yamaha yzf,2500,5000
2012 Yamaha fz,4200,24000
2019 Yamaha yzf,-2,3000
2023 Kawasaki ninja,5000,5000
No title,-2,-1
2009 Yamaha yz6r,4200,-1
2018 Yamaha yzf,11500,1000
2012 Yamaha fz,5200,-1
2020 Yamaha yzfr,3000,-1
2006 Yamaha R1,7000,-1
2024 Yamaha yzf,5499,300
-,yamaha r3,"Philadelphia, PA",3606.25
2015 Yamaha yzfr,3800,-1
2019 Yamaha yzf,5000,-1
2021 Honda cbr,4000,-1
2015 yamaha yzf r3 (READ DESCRIPTION),3200,-1
2013 Kawasaki ninja,-2,2000
2016 Yamaha yzf r3,4000,20000
yamaha R3 2015,3500,-1
2016 Yamaha yzf,4500,6000
2023 Yamaha yzf,6000,-1
2015 Yamaha yzf,4500,-1
2002 Yamaha R6 yzf-r6,1250,-1
2018 Yamaha yzf-r1,5000,18000
2018 Yamaha yzfr,3600,-1
2018 Honda cbr,3500,-1
2002 Yamaha,3000,-1
Motorcycle,4500,-1
1999 Suzuki katana,1800,14000
2017 Yamaha yzf,3800,3000
2023 Yamaha yz250x,7000,300
