NAME,MAKE,MODEL,YEAR,TYPE,COLOR,INTCOLOR,MILES,PRICE,SOURCE
Used 2016 Honda Civic EX-T,Honda,Civic,2016,4-Cylinder Turbo,Blue,Black,36307,18500,AUTOTRADER
Used 2020 Volkswagen Tiguan SE R-Line,Volkswagen,Tiguan,2020,4-Cylinder Turbo,White,Black,38713,22510,AUTOTRADER
Used 2020 Hyundai Elantra SE,Hyundai,Elantra,2020,4-Cylinder,Red,Beige,19248,16791,AUTOTRADER
New 2024 MAZDA CX-5 Carbon Edition,MAZDA,CX-5,2024,4-Cylinder,Gray,Red,5,33760,AUTOTRADER
Used 2007 Lexus IS 250,Lexus,IS 250,2007,6-Cylinder,Black,Black,117957,9400,AUTOTRADER
Used 2012 Mercedes-Benz GLK 350 4MATIC,Mercedes-Benz,GLK 350,2012,6-Cylinder,Black,Beige,117000,9550,AUTOTRADER
Used 2006 Toyota Tacoma 4x4 Double Cab,Toyota,Tacoma,2006,6-Cylinder,Blue,Gray,176904,10900,AUTOTRADER
Used 2013 Volkswagen Golf 4-Door,Volkswagen,Golf,2013,5-Cylinder,Black,Black,68754,9000,AUTOTRADER
Certified 2023 MAZDA MAZDA3 s,MAZDA,MAZDA3,2023,4-Cylinder,Unavail,Black,2796,24500,AUTOTRADER
Certified 2023 MAZDA MAZDA3 s,MAZDA,MAZDA3,2023,4-Cylinder,Gray,Red,1961,25098,AUTOTRADER
Used 2018 Honda Civic LX,Honda,Civic,2018,4-Cylinder,Gray,Black,34374,18400,AUTOTRADER
Used 2018 Toyota Camry SE,Toyota,Camry,2018,4-Cylinder,Blue,Black,58452,20000,AUTOTRADER
Used 2019 Honda Accord Sport,Honda,Accord,2019,4-Cylinder Turbo,Offwhite,Black,30343,24400,AUTOTRADER
Used 2018 BMW X5 xDrive40e,BMW,X5,2018,Hybrid,Gray,Black,57468,24000,AUTOTRADER
Used 2015 Chevrolet Impala LTZ,Chevrolet,Impala,2015,6-Cylinder,Red,Black,58631,17900,AUTOTRADER
Used 2022 Lexus ES 300h F Sport,Lexus,ES 300h,2022,Hybrid,Black,Black,23686,37900,AUTOTRADER
Used 2022 Toyota Tacoma SR,Toyota,Tacoma,2022,6-Cylinder,Silver,Unavail,7351,33988,AUTOTRADER
Used 2018 Audi Q3 2.0T Premium Plus,Audi,Q3,2018,4-Cylinder Turbo,Silver,Black,61400,20998,AUTOTRADER
Used 2020 Kia Optima Premium,Kia,Optima,2020,4-Cylinder Turbo,Gray,Black,19866,22264,AUTOTRADER
Used 2018 Toyota Prius Three,Toyota,Prius,2018,Hybrid,White,,41851,20997,AUTOTRADER
Used 2021 Volvo XC90 T5 Momentum,Volvo,XC90,2021,4-Cylinder Turbo,White,Black,21315,37997,AUTOTRADER
Used 2021 Hyundai Ioniq SE,Hyundai,Ioniq,2021,Electric,White,Black,12680,19500,AUTOTRADER
Used 2021 Hyundai Sonata SE,Hyundai,Sonata,2021,4-Cylinder,Gray,Black,21246,20000,AUTOTRADER
Used 2021 Hyundai Kona SEL,Hyundai,Kona,2021,4-Cylinder,Gray,Black,14717,20000,AUTOTRADER
Used 2022 Nissan Rogue Sport SL,Nissan,Rogue Sport,2022,4-Cylinder,Black,Black,13905,25000,AUTOTRADER
Used 2017 Hyundai Santa Fe SE,Hyundai,Santa Fe,2017,6-Cylinder,White,Gray,65508,17800,AUTOTRADER
Used 2021 Nissan Rogue SV,Nissan,Rogue,2021,4-Cylinder,White,Gray,18187,25435,AUTOTRADER
Used 2023 Ford Bronco Outer Banks,Ford,Bronco,2023,6-Cylinder Turbo,Black,Black,5700,48209,AUTOTRADER
Used 2020 MINI Cooper John Cooper Works,MINI,Cooper,2020,4-Cylinder Turbo,Turquoise,Black,28118,29993,AUTOTRADER
Used 2019 BMW M2 Competition,BMW,M2,2019,6-Cylinder Turbo,Blue,Black,19620,48595,AUTOTRADER
Used 2021 Jeep Grand Cherokee Laredo,Jeep,Grand Cherokee,2021,6-Cylinder,White,Black,23995,27997,AUTOTRADER
Used 2014 Chevrolet Malibu LT,Chevrolet,Malibu,2014,4-Cylinder,Blue,Beige,99100,8500,AUTOTRADER
Used 2023 Ford Bronco Badlands,Ford,Bronco,2023,6-Cylinder Turbo,Red,Black,5150,57500,AUTOTRADER
Used 2018 MAZDA CX-5 Touring,MAZDA,CX-5,2018,4-Cylinder,Black,Black,48436,21506,AUTOTRADER
Used 2021 Jeep Compass Limited,Jeep,Compass,2021,4-Cylinder,White,Black,25162,22000,AUTOTRADER
Used 2021 Hyundai Elantra Limited,Hyundai,Elantra,2021,4-Cylinder,Red,Gray,8287,22173,AUTOTRADER
Used 2023 MAZDA CX-5 Signature,MAZDA,CX-5,2023,4-Cylinder Turbo,Blue,Brown,3699,35000,AUTOTRADER
Certified 2018 Nissan Rogue SL,Nissan,Rogue,2018,4-Cylinder,Silver,Black,51864,18895,AUTOTRADER
Certified 2020 Buick Envision Preferred,Buick,Envision,2020,4-Cylinder,Black,Beige,58651,20991,AUTOTRADER
Used 2016 MAZDA CX-5 Grand Touring,MAZDA,CX-5,2016,4-Cylinder,White,Beige,28364,21299,AUTOTRADER
Used 2018 Genesis G80 3.8,Genesis,G80,2018,6-Cylinder,Gray,Black,75404,21845,AUTOTRADER
Used 2009 Honda Fit Sport,Honda,Fit,2009,4-Cylinder,Black,Gray,105348,9400,AUTOTRADER
Used 2010 Toyota Prius Two,Toyota,Prius,2010,Hybrid,Gray,Gray,99205,11700,AUTOTRADER
Used 2010 Honda CR-V EX-L,Honda,CR-V,2010,4-Cylinder,Gray,Offwhite,67834,14000,AUTOTRADER
Used 2013 Toyota Camry L,Toyota,Camry,2013,4-Cylinder,Black,Black,73595,15000,AUTOTRADER
Used 2014 Honda CR-V LX,Honda,CR-V,2014,4-Cylinder,White,Gray,85902,15400,AUTOTRADER
Used 2011 Honda CR-V EX-L,Honda,CR-V,2011,4-Cylinder,Blue,Offwhite,38118,16000,AUTOTRADER
Used 2017 Honda Civic LX,Honda,Civic,2017,4-Cylinder,Black,Unavail,46974,18500,AUTOTRADER
Used 2018 Honda Accord Sport,Honda,Accord,2018,4-Cylinder Turbo,Blue,Black,40334,24000,AUTOTRADER
Used 2020 Toyota Avalon Touring,Toyota,Avalon,2020,6-Cylinder,Blue,Gray,45884,30000,AUTOTRADER
Used 2018 Ford Transit 150 XL,Ford,Transit 150,2018,6-Cylinder,Black,Gray,60521,31000,AUTOTRADER
Used 2019 Chevrolet Blazer LT,Chevrolet,Blazer,2019,6-Cylinder,White,Black,64217,22500,AUTOTRADER
Used 2016 Porsche Macan Turbo,Porsche,Macan,2016,6-Cylinder Turbo,Black,Black,79866,27500,AUTOTRADER
Used 2022 Ford Bronco 2-Door,Ford,Bronco,2022,4-Cylinder Turbo,Gray,Black,18800,42750,AUTOTRADER
Used 2018 Toyota Tacoma SR5,Toyota,Tacoma,2018,4-Cylinder,Silver,Unavail,58484,24900,AUTOTRADER
Certified 2022 Chevrolet Bolt LT,Chevrolet,Bolt,2022,Electric,Blue,Black,16807,21407,AUTOTRADER
Certified 2021 GMC Canyon Denali,GMC,Canyon,2021,6-Cylinder,Black,Black,22618,36991,AUTOTRADER
Used 2021 Chevrolet Silverado 1500 LTZ,Chevrolet,Silverado 1500,2021,6-Cylinder Turbo,Silver,Tan,32275,42859,AUTOTRADER
Used 2015 Honda Civic EX-L,Honda,Civic,2015,4-Cylinder,White,Tan,66700,14990,AUTOTRADER
Used 2016 Volkswagen Touareg VR6,Volkswagen,Touareg,2016,6-Cylinder,Blue,Tan,56800,25000,AUTOTRADER
Certified 2020 Volkswagen GTI SE,Volkswagen,GTI,2020,4-Cylinder Turbo,White,Black,23963,27375,AUTOTRADER
Used 2007 Honda Element EX,Honda,Element,2007,4-Cylinder,Blue,Unavail,216965,6469,AUTOTRADER
Used 2010 Honda Odyssey EX,Honda,Odyssey,2010,6-Cylinder,Silver,Gray,135241,8000,AUTOTRADER
Used 2017 Hyundai Santa Fe Limited,Hyundai,Santa Fe,2017,6-Cylinder,Blue,Black,53941,20000,AUTOTRADER
Used 2021 Toyota C-HR LE,Toyota,C-HR,2021,4-Cylinder,White,Black,30339,20500,AUTOTRADER
Used 2018 Subaru Outback 3.6R Touring,Subaru,Outback,2018,6-Cylinder,Black,Brown,51832,23100,AUTOTRADER
Used 2021 Honda CR-V EX,Honda,CR-V,2021,4-Cylinder Turbo,Black,Black,33350,26000,AUTOTRADER
Used 2020 Acura MDX SH-AWD,Acura,MDX,2020,6-Cylinder,Offwhite,Unavail,37447,30000,AUTOTRADER
Used 1998 BMW M Roadster,BMW,M Roadster,1998,6-Cylinder,Black,Black,86267,16700,AUTOTRADER
Used 2020 Ford Ranger XLT,Ford,Ranger,2020,4-Cylinder Turbo,Red,Black,7825,29989,AUTOTRADER
-,kawasaki ninja 300,"Virginia Beach, VA",1726007,-,-,-,-,-
Used 2017 Chevrolet Tahoe LS,Chevrolet,Tahoe,2017,8-Cylinder,Silver,Black,102000,12000,AUTOTRADER
Used 2020 Honda CR-V LX,Honda,CR-V,2020,4-Cylinder Turbo,Black,Black,31307,23131,AUTOTRADER
Used 2020 Ford Escape SE,Ford,Escape,2020,3-Cylinder Turbo,Black,Gray,22285,18700,AUTOTRADER
New 2024 BMW 530i w/ Premium Package,BMW,530i,2024,4-Cylinder Turbo,Blue,Black,8,62095,AUTOTRADER
Used 2019 Kia Niro EX,Kia,Niro,2019,Hybrid,Gray,Gray,43558,18994,AUTOTRADER
Used 2020 Kia Sportage EX,Kia,Sportage,2020,4-Cylinder,Gray,Gray,38787,19454,AUTOTRADER
Used 2018 Nissan Rogue Sport SV,Nissan,Rogue Sport,2018,4-Cylinder,Red,Black,50994,16990,AUTOTRADER
Used 2021 Honda Accord EX,Honda,Accord,2021,Hybrid,Offwhite,Black,22117,27175,AUTOTRADER
