-,kawasaki ninja 300,"Washington, DC",3550.0
2008 Honda accord EX Coupe 2D,2008,3000,160000
2008 Honda accord EX Sedan 4D,2008,3500,20000
2012 Honda accord,2012,6000,160000
2008 Honda accord EX-L Coupe 2D,2008,4200,159000
2008 Honda accord EX-L Sedan 4D,2008,4500,178000
2006 Honda accord SE Sedan 4D,2006,3500,178000
2008 Honda accord EX-L Sedan 4D,2008,4000,128000
2008 Honda accord EX Sedan 4D,2008,4500,132000
2008 Honda accord EX-L Sedan 4D,2008,4900,132000
2009 Honda accord,2009,4800,-1
2008 Honda accord EX-L Sedan 4D,2008,4799,190000
2015 Honda accord EX-L Sedan 4D,2015,3000,98000
2012 Honda accord EX-L Sedan 4D,2012,1000,114000
2022 Honda accord,2022,1899,26000
2008 Nissan altima 2.5 S Sedan 4D,2008,2499,196000
2010 Honda accord EX-L Sedan 4D,2010,5900,125000
2007 Honda accord EX-L Sedan 4D,2007,4000,130000
-,2006 acura tl 3.2 sedan 4d,"Washington, DC",2947.13
2004 Acura tl 3.2 Sedan 4D,2004,4500,130000
2005 Acura tl 3.2 Sedan 4D,2005,2800,2000
2006 Acura tl sedan 4d,2006,800,-1
2005 Acura tl 3.2 Sedan 4D,2005,2900,117000
2006 Acura tl 3.2 Sedan 4D,2006,4000,146000
2006 Acura tl 3.2 Sedan 4D,2006,4700,164000
2006 Acura tl 3.2 Sedan 4D,2006,3750,160000
2004 Acura tsx Sedan 4D,2004,4800,185000
2008 Acura tl 3.2 Sedan 4D,2008,0,286000
2006 Acura tl 3.2 Sedan 4D,2006,4800,141000
2004 Acura tl 3.2 Sedan 4D,2004,2500,180000
2007 Acura tl 3.2 Sedan 4D,2007,4000,2000
2007 Acura tl 3.2 base model,2007,3000,185000
2004 Acura tsx Sedan 4D,2004,2800,223000
2005 Acura tl 3.2 Sedan 4D,2005,2700,215000
2005 Acura tl 3.2 Sedan 4D,2005,1234,100000
2006 Acura tl 3.2 Sedan 4D,2006,1500,182000
2008 Acura tl 3.2 Sedan 4D,2008,3300,140000
2006 Acura tl 3.2 Sedan 4D,2006,1500,171000
2004 Acura tl 3.2 Sedan 4D,2004,800,190000
2006 Acura tl 3.2 Sedan 4D,2006,4200,106000
2007 Audi a4 2.0T Sedan 4D,2007,3200,186000
2006 Acura tl 3.2 Sedan 4D,2006,4000,205000
-,2006 acura tl 3.2 sedan 4d,"Richmond, VA",3902.41
2007 Acura tl 3.2 Sedan 4D,2007,4800,150000
2008 Acura tl 3.2 Sedan 4D,2008,4000,190000
2006 Acura TL - excellent drive,2006,800,-1
2005 Acura tl 3.2 Sedan 4D,2005,4500,190000
2004 Acura tl 3.2 Sedan 4D,2004,3500,249000
2006 Acura tl 3.2 Sedan 4D,2006,7999,108000
2005 Acura tl 3.2 Sedan 4D,2005,2800,2000
2006 Acura tl 3.2 Sedan 4D,2006,5000,214000
2004 Acura tl 3.2 Sedan 4D,2004,5000,197000
2006 Acura tl 3.2 Sedan 4D,2006,4999,185000
2005 Acura tsx Sedan 4D,2005,1543,124000
2005 Acura tl 3.2 Sedan 4D,2005,2900,117000
2006 Acura tl 3.2 Sedan 4D,2006,5000,218000
2008 Acura tl 3.2 Sedan 4D,2008,0,286000
2004 Acura tl 3.2 Sedan 4D,2004,4500,130000
2008 Acura tl 3.2 Sedan 4D,2008,2500,222000
2007 Acura tl Type-S Sedan 4D,2007,6500,200000
-,2006 acura tl 3.2 sedan 4d,"Virginia Beach, VA",3904.62
2008 Acura tl 3.2 Sedan 4D,2008,4000,190000
2006 Acura tl 3.2 Sedan 4D,2006,4999,185000
2005 Acura tl 3.2 Sedan 4D,2005,5000,135000
2006 Acura tl 3.2 Sedan 4D,2006,1500,201000
2006 Acura tl 3.2 Sedan 4D,2006,5000,173000
2005 Acura tl 3.2 Sedan 4D,2005,1500,157000
2005 Acura tl 3.2 Sedan 4D,2005,1200,3000
2005 Acura tl 3.2 Sedan 4D,2005,5800,163000
2007 Acura tl 3.2 Sedan 4D,2007,4800,150000
2006 Acura tl 3.2 Sedan 4D,2006,4999,185000
2008 Acura tl 3.2 Sedan 4D,2008,2500,222000
2005 Acura tl 3.2 Sedan 4D,2005,4500,190000
2006 Acura tl 3.2 Sedan 4D,2006,5000,218000
2005 Acura tl 3.2 Sedan 4D,2005,2800,2000
2006 Acura tl 3.2 Sedan 4D,2006,4999,-1
2004 Acura tsx Sedan 4D,2004,3800,240000
2007 Acura tl 3.2 Sedan 4D,2007,5000,273000
2005 Acura tsx Sedan 4D,2005,5000,211000
2007 Acura tl 3.2 Sedan 4D,2007,3700,168000
2005 Acura tl 3.2 Sedan 4D,2005,2900,117000
2004 Acura tl 3.2 Sedan 4D,2004,3000,230000
-,2006 acura tl 3.2 sedan 4d,"Orlando, FL",3211.96
2006 Acura tl 3.2 Sedan 4D,2006,3700,195000
2006 Acura tl 3.2 Sedan 4D,2006,3500,213000
2006 Acura tl sedan 4d,2006,800,-1
2008 Acura tl 3.2 Sedan 4D,2008,2000,147000
2006 Acura tl 3.2 Sedan 4D,2006,3700,195000
2006 Acura tl 3.2 Sedan 4D,2006,2000,164000
2006 Acura tl 3.2 Sedan 4D,2006,3500,212000
2002 Acura tl 3.2 Sedan 4D,2002,4050,200000
2006 Acura tl 3.2 Sedan 4D,2006,2700,178000
2006 Acura tl 3.2 Sedan 4D,2006,3900,162000
2005 Acura tl 3.2 Sedan 4D,2005,3990,154000
2006 Acura tl 3.2 Sedan 4D,2006,5000,169000
2006 Acura tl 3.2 Sedan 4D,2006,5000,205000
2006 Acura tl 3.2 Sedan 4D,2006,3400,188000
2005 Acura tl 3.2 Sedan 4D,2005,2000,212000
2007 Acura tl 3.2 Sedan 4D,2007,4500,136000
2006 Acura TL clean title!!!,2006,800,-1
2005 Acura tl 3.2 Sedan 4D,2005,3600,123000
2006 Acura tl 3.2 Sedan 4D,2006,1500,196000
2008 Acura tl 3.2 Sedan 4D,2008,5900,110000
2005 Acura tl 3.2 Sedan 4D,2005,0,1100
2005 Acura tl 3.2 Sedan 4D,2005,3600,205000
2006 Acura tl 3.2 Sedan 4D,2006,4735,103000
-,2006 acura tl 3.2 sedan 4d,"Jacksonville, FL",2865.3
2006 Acura tl sedan 4d,2006,800,-1
2006 Acura tl 3.2 Sedan 4D,2006,800,170000
2004 Acura tl 3.2 Sedan 4D,2004,1200,195000
2006 Acura tl 3.2 Sedan 4D,2006,5000,156000
2006 Acura tl 3.2 Sedan 4D,2006,3000,13000
2006 Acura tsx Sedan 4D,2006,2000,300
2007 Acura tl 3.2 Sedan 4D,2007,5000,188000
2004 Acura tl 3.2 Sedan 4D,2004,3000,160000
2001 Acura tl 3.2 Sedan 4D,2001,3500,139000
2004 Acura tsx Sedan 4D,2004,4500,150000
2006 Acura TL clean title!!!,2006,800,-1
2005 Acura tl 3.2 Sedan 4D,2005,2500,300
2006 Acura tl 3.2 Sedan 4D,2006,6000,107000
2013 Acura tl,2013,800,101000
2004 Acura tl 3.2 Sedan 4D,2004,3500,130000
2006 Acura tl 3.2 Sedan 4D,2006,2000,164000
2006 Acura TL - excellent drive,2006,802,-1
2006 Acura tl 3.2 Sedan 4D,2006,3900,162000
2008 Acura tl 3.2 Sedan 4D,2008,2000,147000
2006 Acura tl 3.2 Sedan 4D,2006,5000,169000
2003 Acura tl 3.2 Sedan 4D,2003,2300,156000
2006 Acura tl 3.2 Sedan 4D,2006,3000,218000
2010 Acura tl Sedan 4D,2010,4500,189000
-,2006 acura tl 3.2 sedan 4d,"Philadelphia, PA",3772.4
2006 Acura tl 3.2 Sedan 4D,2006,4200,99000
2006 Acura tl 3.2 Sedan 4D,2006,1234,196000
2007 Acura tl 3.2 Sedan 4D,2007,4100,145000
2007 Acura tl 3.2 Sedan 4D,2007,3000,124000
2001 Acura tl 3.2 Sedan 4D,2001,2430,175000
2006 Acura tl 3.2 Sedan 4D,2006,4000,190000
2006 Acura tl 3.2 Sedan 4D,2006,2850,170000
2006 Acura tl 3.2 Sedan 4D,2006,1500,150000
2006 Acura tl 3.2 Sedan 4D,2006,4000,183000
2006 Acura tl 3.2 Sedan 4D,2006,4100,144000
2006 Acura tl 3.2 Sedan 4D,2006,1234,200000
2009 Acura tl Sedan 4D,2009,3800,168000
2006 Acura tl 3.2 Sedan 4D,2006,5500,167000
2006 Acura tl 3.2 Sedan 4D,2006,3300,135000
2006 Acura tl 3.2 Sedan 4D,2006,5000,170000
2006 Acura tl 3.2 Sedan 4D,2006,5800,110000
2006 Acura tl 3.2 Sedan 4D,2006,2000,220000
2007 Acura tl 3.2 Sedan 4D,2007,5000,150000
2008 Acura tl 3.2 Sedan 4D,2008,6900,75000
2006 Acura tl 3.2 Sedan 4D,2006,5500,196000
-,2006 acura tl 3.2 sedan 4d,"Pittsburgh, PA",2740.46
2003 Acura tl 3.2 Sedan 4D,2003,1000,171000
2006 Acura TL - excellent drive,2006,800,-1
2006 Acura tl sedan 4d,2006,800,-1
2006 Acura TL clean title!!!,2006,800,-1
2005 Acura tl 3.2 Sedan 4D,2005,2400,199000
2005 Acura tl 3.2 Sedan 4D,2005,6900,123000
2007 Acura tl 3.2 Sedan 4D,2007,2500,180000
2006 Acura tl 3.2 Sedan 4D,2006,2550,210000
2004 Acura tl 3.2 Sedan 4D,2004,3700,130000
2004 Acura tl 3.2 Sedan 4D,2004,2900,185000
2006 Acura tl 3.2 Sedan 4D,2006,4500,183000
2004 Acura tl 3.2 Sedan 4D,2004,1234,218000
2004 Acura tl 3.2 Sedan 4D,2004,4800,131000
2004 Acura tl 3.2 Sedan 4D,2004,2990,188000
2009 Audi a4 3.2 Quattro Sedan 4D,2009,1234,124000
2005 Acura tl 3.2 Sedan 4D,2005,2900,117000
2003 Acura tl 3.2 Sedan 4D,2003,4200,127000
2006 Audi a6 3.2 Quattro Sedan 4D,2006,1400,167000
2003 Acura tl 3.2 TYPE-S Sedan 4D,2003,4000,207000
2005 Acura tl 3.2 Sedan 4D,2005,1234,304000
2002 Acura tl 3.2 Sedan 4D,2002,1234,12000
2006 Subaru legacy,2006,3995,194000
2005 Acura tl 3.2 Sedan 4D,2005,4000,165000
2004 Acura tl 3.2 Sedan 4D,2004,3700,120000
-,2006 acura tl 3.2 sedan 4d,"Baltimore, MD",2939.13
2005 Acura tl 3.2 Sedan 4D,2005,2900,117000
2006 Acura tl 3.2 Sedan 4D,2006,4700,164000
2006 Acura tl 3.2 Sedan 4D,2006,3750,160000
2004 Acura tl 3.2 Sedan 4D,2004,4500,130000
2006 Acura tl sedan 4d,2006,800,-1
2005 Acura tl 3.2 Sedan 4D,2005,2800,2000
2006 Acura tl 3.2 Sedan 4D,2006,4000,205000
2006 Acura tl 3.2 Sedan 4D,2006,1500,150000
2007 Acura tl 3.2 base model,2007,3000,185000
2007 Acura tl 3.2 Sedan 4D,2007,3500,149000
2008 Acura tl 3.2 Sedan 4D,2008,3300,140000
2008 Acura tl 3.2 Sedan 4D,2008,4000,149000
2006 Acura tl 3.2 Sedan 4D,2006,1750,179000
2006 Acura tl 3.2 Sedan 4D,2006,4800,168000
2004 Acura tl 3.2 Sedan 4D,2004,1200,196000
2008 Acura tl Type-S Sedan 4D,2008,4000,200000
2007 Acura tl 3.2 Sedan 4D,2007,3400,176000
2004 Acura tl 3.2 Sedan 4D,2004,2200,200000
2005 Acura tl 3.2 Sedan 4D,2005,2500,180000
2008 Acura tl 3.2 Sedan 4D,2008,3800,184000
2006 Acura tl 3.2 Sedan 4D,2006,1700,160000
2006 Acura tl 3.2 Sedan 4D,2006,1500,171000
2007 Acura tl 3.2 Sedan 4D,2007,2000,200000
-,2006 acura tl 3.2 sedan 4d,"New York City, NY",3001.83
2006 Acura tl 3.2 Sedan 4D,2006,3300,135000
2005 Acura tl 3.2 Sedan 4D,2005,2610,190000
2006 Acura TL - excellent drive,2006,800,-1
2006 Acura tl 3.2 Sedan 4D,2006,3500,146000
2008 Acura tl 3.2 Sedan 4D,2008,6000,170000
2006 Acura tl 3.2 Sedan 4D,2006,7000,120000
2007 Acura tl 3.2 Sedan 4D,2007,2500,92000
2004 Acura tl 3.2 Sedan 4D,2004,2500,198000
2006 Acura tl 3.2 Sedan 4D,2006,2000,215000
2006 Acura tl 3.2 Sedan 4D,2006,3000,130000
2006 Acura tl 3.2 Sedan 4D,2006,1234,200000
2004 Acura tl 3.2 Sedan 4D,2004,3000,138000
2005 Acura tl 3.2 Sedan 4D,2005,3000,150000
2006 Acura tl 3.2 Sedan 4D,2006,2100,180000
2006 Acura tl 3.2 Sedan 4D,2006,2200,214000
2006 Acura TL clean title!!!,2006,800,-1
2005 Acura tl 3.2 Sedan 4D,2005,4200,125000
2007 Acura tl 3.2 Sedan 4D,2007,3000,124000
2006 Acura tl 3.2 Sedan 4D,2006,3000,164000
2005 Acura tl 3.2 Sedan 4D,2005,2000,197000
2008 Acura tl 3.2 Sedan 4D,2008,4500,150000
2007 Acura tl 3.2 Sedan 4D,2007,5000,150000
2006 Acura tl sedan 4d,2006,800,-1
2006 Acura tl 3.2 Sedan 4D,2006,4000,183000
-,2006 acura tl 3.2 sedan 4d,"Atlanta, GA",3217.95
2006 Acura tl 3.2 Sedan 4D,2006,1800,134000
2006 Acura tl 3.2 Sedan 4D,2006,2800,240000
2006 Acura tl sedan 4d,2006,800,-1
2007 Acura tl 3.2 Sedan 4D,2007,4995,192000
2006 Acura tl 3.2 Sedan 4D,2006,3500,172000
2007 Acura tl 3.2 Sedan 4D,2007,6000,144000
2006 Acura TL - excellent drive,2006,802,-1
2006 Acura tl 3.2 Sedan 4D,2006,7000,12000
2004 Acura tl 3.2 Sedan 4D,2004,3410,150000
2006 Acura tl 3.2 Sedan 4D,2006,6350,132000
2005 Acura tl 3.2 Sedan 4D,2005,5800,205000
2004 Acura tl,2004,1450,182000
2004 Acura tl 3.2 Sedan 4D,2004,1000,207000
2005 Acura tsx Sedan 4D,2005,4700,146000
2005 Acura tl 3.2 Sedan 4D,2005,1400,123000
2003 Acura tl 3.2 Sedan 4D,2003,1500,169000
2006 Acura tl 3.2 Sedan 4D,2006,3000,-1
2004 Acura tl 3.2 Sedan 4D,2004,3600,2000
2008 Acura tl Type-S Sedan 4D,2008,1234,185000
-,2006 acura tl 3.2 sedan 4d,"Newark, NJ",3449.5
2006 Acura tl 3.2 Sedan 4D,2006,3300,135000
2006 Acura tl 3.2 Sedan 4D,2006,3500,146000
2004 Acura tl 3.2 Sedan 4D,2004,2500,198000
2005 Acura tl 3.2 Sedan 4D,2005,2610,190000
2006 Acura tl 3.2 Sedan 4D,2006,2000,215000
2005 Acura tl 3.2 Sedan 4D,2005,3500,150000
2006 Acura tl 3.2 Sedan 4D,2006,1234,200000
2008 Acura tl Type-S Sedan 4D,2008,7950,86000
2008 Acura tl 3.2 Sedan 4D,2008,6000,170000
2005 Acura tl 3.2 Sedan 4D,2005,2000,197000
2006 Acura tl 3.2 Sedan 4D,2006,7000,120000
2004 Acura tl 3.2 Sedan 4D,2004,3000,138000
2007 Acura tl 3.2 Sedan 4D,2007,3000,124000
2007 Acura tl 3.2 Sedan 4D,2007,5000,150000
2006 Acura tl 3.2 Sedan 4D,2006,3000,130000
2007 Acura tl 3.2 Sedan 4D,2007,3400,162000
2006 Acura tl 3.2 Sedan 4D,2006,4000,183000
2007 Acura tl 3.2 Sedan 4D,2007,2500,92000
2005 Acura tl 3.2 Sedan 4D,2005,3000,150000
2005 Acura tl 3.2 Sedan 4D,2005,4200,125000
2006 Acura tl 3.2 Sedan 4D,2006,2200,214000
2005 Acura tl 3.2 Sedan 4D,2005,995,179000
-,2006 acura tl 3.2 sedan 4d,"Cleveland, OH",3981.15
2004 Acura tl 3.2 Sedan 4D,2004,2990,188000
2006 Acura tl 3.2 Sedan 4D,2006,5500,117000
2006 Acura tl 3.2 Sedan 4D,2006,2000,145000
2007 Acura tl 3.2 Sedan 4D,2007,5500,164000
2004 Acura tl 3.2 Sedan 4D,2004,3700,120000
2005 Acura tl 3.2 Sedan 4D,2005,6499,146000
2006 Acura tsx Sedan 4D,2006,7300,150000
2004 Acura tl 3.2 Sedan 4D,2004,4800,131000
2008 Acura tl 3.2 Sedan 4D,2008,2000,256000
2006 Audi a6 3.2 Quattro Sedan 4D,2006,3000,190000
2006 Acura tl 3.2 Sedan 4D,2006,5500,-1
2007 Honda civic Si Sedan 4D,2007,7500,170000
2007 Acura tl 3.2 Sedan 4D,2007,3000,209000
2004 Acura tl 3.2 Sedan 4D,2004,3000,177000
2005 Acura tl 3.2 Sedan 4D,2005,5000,150000
2006 Acura tl 3.2 Sedan 4D,2006,4500,226000
2005 Acura tl 3.2 Sedan 4D,2005,1234,1200
2003 Acura tl 1-Original Owner Sedan,2003,3700,165000
2004 Acura tl 3.2 Sedan 4D,2004,1500,190000
2006 Audi a6 3.2 Quattro Sedan 4D,2006,1400,167000
-,2006 acura tl 3.2 sedan 4d,"Charlotte, NC",3277.45
2006 Acura tl 3.2 Sedan 4D,2006,800,180000
2006 Acura tl sedan 4d,2006,800,-1
2006 Acura tl 3.2 Sedan 4D,2006,6000,108000
2006 Acura TL - excellent drive,2006,802,-1
2007 Acura tl 3.2 Sedan 4D,2007,3500,207000
2006 Acura tl 3.2 Sedan 4D,2006,4200,180000
2004 Acura tl 3.2 Sedan 4D,2004,800,200000
2008 Acura tl 3.2 Sedan 4D,2008,11750,59000
2007 Acura tl 3.2 VTEC,2007,5220,182000
2005 Acura tsx Sedan 4D,2005,2000,182000
2005 Acura tl 3.2 Sedan 4D,2005,6480,216000
2006 Mazda mazda3 i Sedan 4D,2006,1500,160000
2005 Acura tsx Sedan 4D,2005,2800,178000
2006 Acura tl 3.2 Sedan 4D,2006,4500,180000
2005 Acura tl 3.2 Sedan 4D,2005,1000,245000
2006 Acura tl,2006,1234,192000
2007 Acura tl 3.2 Sedan 4D,2007,1200,211000
2007 Acura tl 3.2 Sedan 4D,2007,4500,207000
2007 Acura tl Type-S Sedan 4D,2007,1234,83000
2007 Acura tl Type-S Sedan 4D,2007,1234,129000
2008 Acura tl 3.2 Sedan 4D,2008,6250,38000
2007 Acura tl 3.2 Sedan 4D,2007,4300,245000
-,2006 acura tl 3.2 sedan 4d,"Nashville, TN",2342.5
2005 Acura tl 3.2 Sedan 4D,2005,4900,152000
2007 Acura tl 3.2 Sedan 4D,2007,4000,200000
2006 Acura tl,2006,1500,210000
2005 Acura tl 3.2 Sedan 4D,2005,2200,123000
2004 Acura tl 3.2 Sedan 4D,2004,2900,235000
2006 Acura tl 3.2 Sedan 4D,2006,3500,150000
2006 Acura tl 3.2 Sedan 4D,2006,5800,186000
2004 Acura tl 3.2 Sedan 4D,2004,3600,2000
2006 Acura TL - excellent drive,2006,800,-1
2009 BMW 3 series 328i xDrive Sedan 4D,2009,3700,212000
2006 Acura tl 3.2 Sedan 4D,2006,1234,189000
1999 Acura tl 3.2 Sedan 4D,1999,3800,167000
2004 Acura tl 3.2 Sedan 4D,2004,801,100000
2005 Acura rl 3.5 Sedan 4D,2005,1800,300000
2006 Acura tl sedan 4d,2006,800,-1
2012 Acura tsx Sedan 4D,2012,2000,123000
2009 Acura tl Sedan 4D,2009,2000,202000
2002 Acura tl 3.2 Type S Sedan 4D,2002,1500,190000
2005 Acura tl 3.2 Sedan 4D,2005,3000,256000
2007 Acura tl 3.2 Sedan 4D,2007,0,6000
2005 Nissan altima 3.5 SE Sedan 4D,2005,900,184000
2006 Acura TL - excellent drive,2006,800,-1
-,2006 acura tl 3.2 sedan 4d,"Dallas, TX",2993.18
2006 Acura tl 3.2 Sedan 4D,2006,0,200000
2006 Acura tl 3.2 Sedan 4D,2006,2500,190000
2006 Acura tl 3.2 Sedan 4D,2006,3200,180000
2004 Acura tl 3.2 Sedan 4D,2004,2700,229000
2006 Acura tl sedan 4d,2006,800,-1
2006 Acura tl 3.2 Sedan 4D,2006,5000,114000
2006 Acura tl 3.2 Sedan 4D,2006,2900,228000
2006 Acura tl sedan 4d,2006,800,-1
2008 Acura tsx Sedan 4D,2008,3500,130000
2005 Acura tl 3.2 Sedan 4D,2005,2800,215000
2004 Acura tl 3.2 Sedan 4D,2004,3000,18000
2014 Acura tl Sedan 4D,2014,0,101000
2005 Acura tl 3.2 Sedan 4D,2005,2500,155000
2000 Acura tl 3.2 Sedan 4D,2000,1800,160000
2008 Acura tl 3.2 Sedan 4D,2008,6550,-1
2008 Acura tl 3.2 Sedan 4D,2008,1500,133000
2006 Acura tl 3.2 Sedan 4D,2006,4000,148000
2009 Acura tl Sedan 4D,2009,4000,120000
2006 Acura tl 3.2 Sedan 4D,2006,6600,138000
2006 Honda civic,2006,3200,158000
2008 Acura tl Type-S Sedan 4D,2008,5300,195000
2004 Acura tl 3.2 Sedan 4D,2004,3200,289000
-,2007 acura tl 3.2 sedan 4d,"Washington, DC",2866.67
2007 Acura tl 3.2 Sedan 4D,2007,3500,149000
2005 Acura tl 3.2 Sedan 4D,2005,2800,2000
2007 Acura tl 3.2 Sedan 4D,2007,2600,232000
2007 Acura tl 3.2 Sedan 4D,2007,2000,200000
2005 Acura tl 3.2 Sedan 4D,2005,2900,117000
2006 Acura tl sedan 4d,2006,800,-1
2007 Acura tl 3.2 Sedan 4D,2007,3900,146000
2007 Acura tl 3.2 Sedan 4D,2007,3500,208000
2007 Acura tl 3.2 Sedan 4D,2007,4500,152000
2005 Acura tl 3.2 Sedan 4D,2005,2100,113000
2005 Acura tl 3.2 Sedan 4D,2005,2500,180000
2007 Acura tl 3.2 Sedan 4D,2007,4000,2000
2007 Acura tl 3.2 base model,2007,3000,185000
2006 Acura tl 3.2 Sedan 4D,2006,4000,146000
2004 Acura tsx Sedan 4D,2004,4800,185000
2008 Acura tl 3.2 Sedan 4D,2008,0,286000
2004 Acura tl 3.2 Sedan 4D,2004,2500,180000
2008 Acura tl 3.2 Sedan 4D,2008,3300,140000
2005 Acura tl 3.2 Sedan 4D,2005,2700,215000
2007 Audi a4 2.0T Sedan 4D,2007,3200,186000
2007 Acura tl 3.2 Sedan 4D,2007,4800,150000
2004 Acura tl 3.2 Sedan 4D,2004,1200,196000
2007 Acura tl 3.2 Sedan 4D,2007,3400,176000
2004 Acura tl 3.2 Sedan 4D,2004,800,190000
-,2007 acura tl 3.2 sedan 4d,"Richmond, VA",3147.62
2007 Acura tl 3.2 Sedan 4D,2007,4800,150000
2006 Acura tl sedan 4d,2006,800,-1
2006 Acura TL - excellent drive,2006,800,-1
2005 Acura tl 3.2 Sedan 4D,2005,2000,20000
2008 Acura tl 3.2 Sedan 4D,2008,2500,222000
2004 Acura tl 3.2 Sedan 4D,2004,3500,249000
2005 Acura tl 3.2 Sedan 4D,2005,2800,2000
2005 Acura tsx Sedan 4D,2005,1543,124000
2005 Acura tl 3.2 Sedan 4D,2005,2900,117000
2007 Acura tl 3.2 Sedan 4D,2007,3700,168000
2007 Acura tl 3.2 Sedan 4D,2007,3500,149000
2007 Acura tl 3.2 Sedan 4D,2007,2600,232000
2004 Acura tl 3.2 Sedan 4D,2004,5000,197000
2005 Nissan maxima SE Sedan 4D,2005,3500,186000
2010 Acura tl Sedan 4D,2010,5900,180000
2007 Acura tl 3.2 Sedan 4D,2007,2000,200000
2007 Acura tl Type-S Sedan 4D,2007,6500,200000
2005 Acura tl 3.2 Sedan 4D,2005,1600,197000
2008 Acura tl 3.2 Sedan 4D,2008,4000,190000
2008 Acura tl 3.2 Sedan 4D,2008,0,286000
2007 Acura tl 3.2 Sedan 4D,2007,5500,85000
2005 Acura tl 3.2 Sedan 4D,2005,6500,113000
2005 Acura tl 3.2 Sedan 4D,2005,1600,300000
2007 Acura tl 3.2 Sedan 4D,2007,2000,190000
-,2007 acura tl 3.2 sedan 4d,"Virginia Beach, VA",2916.71
2007 Acura tl 3.2 Sedan 4D,2007,5000,273000
2007 Acura tl 3.2 Sedan 4D,2007,3700,168000
2006 Acura tl sedan 4d,2006,800,-1
2008 Acura tl 3.2 Sedan 4D,2008,2500,222000
2007 Acura tl 3.2 Sedan 4D,2007,5000,230000
2006 Acura TL - excellent drive,2006,800,-1
2007 Acura tl 3.2 Sedan 4D,2007,4800,150000
2005 Acura tl 3.2 Sedan 4D,2005,1200,3000
2005 Acura tl 3.2 Sedan 4D,2005,1500,157000
2008 Acura tl 3.2 Sedan 4D,2008,4000,190000
2004 Acura tsx Sedan 4D,2004,3800,240000
2005 Acura tl 3.2 Sedan 4D,2005,2800,2000
2005 Acura tl 3.2 Sedan 4D,2005,2900,117000
2005 Acura tsx Sedan 4D,2005,5000,211000
2007 Acura tl 3.2 Sedan 4D,2007,3500,149000
2006 Acura tl 3.2 Sedan 4D,2006,4999,185000
2005 Acura tl 3.2 Sedan 4D,2005,5800,163000
2004 Acura tl 3.2 Sedan 4D,2004,3000,230000
2007 Acura tl 3.2 Sedan 4D,2007,2000,190000
2008 Acura tl 3.2 Sedan 4D,2008,0,286000
2007 Acura tl 3.2 Sedan 4D,2007,2600,232000
2006 Acura TL - excellent drive,2006,802,-1
2007 Acura tl 3.2 Sedan 4D,2007,2000,200000
2006 Acura tl 3.2 Sedan 4D,2006,1500,201000
-,2007 acura tl 3.2 sedan 4d,"Orlando, FL",3269.0
2008 Acura tl 3.2 Sedan 4D,2008,2000,147000
2005 Acura tl 3.2 Sedan 4D,2005,3600,205000
2006 Acura tl sedan 4d,2006,800,-1
2007 Acura tl 3.2 Sedan 4D,2007,4500,240000
2006 Acura tl 3.2 Sedan 4D,2006,2000,164000
2008 Acura tl 3.2 Sedan 4D,2008,4899,167000
2008 Acura tl 3.2 Sedan 4D,2008,2500,170000
2006 Acura tl 3.2 Sedan 4D,2006,2700,178000
2002 Acura tl 3.2 Type S Sedan 4D,2002,1700,-1
2007 Acura tl 3.2 Sedan 4D,2007,900,130000
2007 Acura tl 3.2 Sedan 4D,2007,1234,150000
2007 Acura tl 3.2 Sedan 4D,2007,2295,176000
2007 Acura tl 3.2 Sedan 4D,2007,4500,136000
2005 Acura tl 3.2 Sedan 4D,2005,3990,154000
2006 Acura tl 3.2 Sedan 4D,2006,3900,162000
2008 Acura tl 3.2 Sedan 4D,2008,5900,110000
2006 Acura tl 3.2 Sedan 4D,2006,5000,169000
2007 Acura tl 3.2 Sedan 4D,2007,3000,163000
2007 Acura tl 3.2 Sedan 4D,2007,4500,178000
2005 Acura tl 3.2 Sedan 4D,2005,2000,212000
2007 Acura tl 3.2 Sedan 4D,2007,3500,245000
2008 Acura tl 3.2 Sedan 4D,2008,6500,143000
-,2007 acura tl 3.2 sedan 4d,"Jacksonville, FL",2584.87
2007 Acura tl 3.2 Sedan 4D,2007,1500,150000
2006 Acura tl sedan 4d,2006,800,-1
2004 Acura tl 3.2 Sedan 4D,2004,1200,195000
2006 Acura tl 3.2 Sedan 4D,2006,800,170000
2006 Acura tl 3.2 Sedan 4D,2006,3000,13000
2007 Acura tl 3.2 Sedan 4D,2007,5000,188000
2000 Acura tl 3.2 Sedan 4D,2000,2450,-1
2004 Acura tl 3.2 Sedan 4D,2004,3000,160000
2004 Acura tsx Sedan 4D,2004,4500,150000
2007 Acura tl 3.2 Sedan 4D,2007,2000,200000
2001 Acura tl 3.2 Sedan 4D,2001,3500,139000
2004 Acura tl 3.2 Sedan 4D,2004,3500,130000
2013 Acura tl,2013,800,101000
2006 Acura TL clean title!!!,2006,800,-1
2008 Acura tl 3.2 Sedan 4D,2008,2000,147000
2010 Acura tl Sedan 4D,2010,4500,189000
2006 Acura tl 3.2 Sedan 4D,2006,6000,107000
2006 Acura tl 3.2 Sedan 4D,2006,2000,164000
2008 Acura tl 3.2 Sedan 4D,2008,1500,197000
2005 Acura tl 3.2 Sedan 4D,2005,3600,205000
2006 Acura tl 3.2 Sedan 4D,2006,3900,162000
2003 Acura tl 3.2 Sedan 4D,2003,2300,156000
