-,kawasaki ninja 300,"Washington, DC",3550.0
2021 Honda cb300r abs,2021,3850,4700
2024 Yamaha r3,2024,5499,-1
2018 Honda cbr,2018,4800,500
2023 Yamaha yzf,2023,6500,300
-,yamaha r3,"Orlando, FL",4944.9
2015 Yamaha yzf,2015,4200,1200
2019 Yamaha yzf,2019,4300,2400
2021 Yamaha yzf,2021,4950,4700
2023 Kawasaki ninja,2023,5000,500
2024 Yamaha yzf,2024,5499,300
2024 Yamaha yzf,2024,5499,300
2024 Yamaha yzf,2024,5499,300
2024 Yamaha r3,2024,5499,-1
2024 Yamaha yzfr,2024,5499,1000000
2012 Yamaha fz,2012,5200,4400
2015 Kawasaki ninja 300 se,2015,2800,1700
2019 Yamaha yzf,2019,5500,300
2024 Yamaha yzfr,2024,9199,1200
2012 Yamaha fz,2012,4200,2400
2024 Yamaha yzfr3  r3,2024,5499,11100
2023 Yamaha yzf,2023,6000,911
2021 Yamaha mt,2021,5200,1300
2017 Yamaha yzf,2017,4000,8700
2017 Yamaha yzfr,2017,3500,1000
2017 Yamaha yzf,2017,2500,700
2019 Yamaha yzf,2019,4300,4800
-,yamaha r3,"Jacksonville, FL",4825.82
2018 Yamaha yzf-r3 abs,2018,4800,8800
2021 Yamaha yzfr,2021,5495,3200
2024 Yamaha yzfr,2024,5499,300
2015 Yamaha yzf,2015,4200,1200
2018 Yamaha yzfr,2018,4999,8800
2019 Yamaha yzf,2019,5495,1600
2024 Yamaha yzf-r3 abs,2024,5499,-1
2015 Yamaha yzf-r1,2015,3200,1800
2023 Yamaha mt,2023,4750,2300
2019 Yamaha yzf,2019,4300,2400
2015 Yamaha yzf,2015,3800,1100
2022 KTM duke,2022,1234,600
2016 Honda cbr,2016,4000,3700
2024 Yamaha yzf,2024,5499,300
2019 Yamaha yzf,2019,5500,300
2012 Yamaha yzf,2012,5500,8800
2017 Honda cbr,2017,4050,9800
2023 Yamaha mt,2023,4799,1500
2023 Yamaha r7,2023,9800,3300
2019 Yamaha yzf,2019,4750,400
2017 Yamaha yzfr,2017,3500,1000
2024 YAMAHA yzf-r3,2024,5499,-1
-,yamaha r3,"Philadelphia, PA",3965.17
2024 Yamaha r3,2024,5499,-1
2018 Dong Fang gxr,2018,1400,200
2019 Yamaha yzf,2019,5000,3100
2018 Yamaha yzf-r1,2018,4850,1800
2023 Yamaha yzf,2023,5000,400
2020 Yamaha yzf,2020,4650,1300
2016 Yamaha yzf r3,2016,4000,2000
2021 Yamaha yzfr,2021,4000,300
2012 Kawasaki ninja 250cc,2012,1400,6800
2018 Honda cbr,2018,3500,4200
2015 Yamaha yzf,2015,4200,900
2017 Yamaha yzf,2017,3800,300
2021 Yamaha yzf,2021,4800,2200
2019 Yamaha yzf,2019,4300,3700
2020 Yamaha yzf,2020,5000,1500
2003 Yamaha yzf600r,2003,2800,2200
2018 Kawasaki ninja 400 abs,2018,4000,8500
2020 Yamaha r3 abs,2020,4900,3500
2014 Kawasaki ninja,2014,3200,7800
2016 Kawasaki ninja abs krt 300,2016,3000,2100
2019 Yamaha yzfr,2019,4400,765
2006 Yamaha fz,2006,3500,1100
2021 Honda cbr,2021,4000,1200
-,yamaha r3,"Pittsburgh, PA",3389.32
2015 Yamaha yzfr,2015,3700,5800
2020 Yamaha mt,2020,4000,1800
2021 Yamaha yzf,2021,4500,300
2021 Kawasaki ninja replica,2021,1800,1500
2015 Yamaha yzf,2015,3669,7500
2024 Yamaha yzf,2024,5499,300
2011 Yamaha yzf,2011,0,1100
2015 KTM rc,2015,3400,5300
2001 Yamaha yzf,2001,3000,3300
2017 Yamaha yzfr,2017,4500,3500
2021 Yamaha yzfr,2021,5300,1800
2015 Yamaha yzf,2015,3995,7900
2017 Yamaha yzf,2017,3800,1900
2015 Yamaha yzf-r1,2015,3600,6500
2021 Yamaha yzfr,2021,3500,1500
2004 Yamaha yzf (trades),2004,1234,1600
2022 Kawasaki z400 (abs),2022,4500,822
2019 Yamaha yzfr,2019,4400,765
2022 Yamaha r7,2022,0,2300
-,yamaha r3,"Baltimore, MD",4049.94
2021 Yamaha yzf,2021,4000,450
2019 Yamaha yzf,2019,5200,2400
2019 Yamaha yzfr,2019,4400,765
2023 Kawasaki z400(abs),2023,4200,1800
2024 Yamaha r3,2024,5499,-1
2002 Yamaha fz,2002,1500,3100
2019 Yamaha yzf,2019,4500,6300
2022 Yamaha mt,2022,5500,444
2014 Kawasaki ninja,2014,3500,1400
2015 Yamaha yzfr,2015,4500,600
2019 Yamaha yzf,2019,4700,4100
2019 Yamaha yzf,2019,5000,3100
2016 Yamaha yzf,2016,3450,5300
2021 Kawasaki ninja,2021,5100,3700
2020 Yamaha yzf,2020,4650,1300
2010 Kawasaki ninja,2010,3200,6300
2021 Yamaha yzfr,2021,4000,300
2022 Yamaha r7,2022,0,2300
-,yamaha r3,"New York City, NY",4257.82
2020 Yamaha yzf,2020,4650,1300
2021 Yamaha yzfr,2021,4000,300
2019 Yamaha yzf,2019,5000,3100
2017 Yamaha yzf,2017,3800,300
2024 Yamaha r3,2024,5499,-1
2015 Yamaha yzfr,2015,4000,400
2017 Yamaha yzf,2017,4900,454
2018 Yamaha yzf,2018,4350,5600
2020 Yamaha r3 abs,2020,4900,3500
2019 Yamaha yzf,2019,4500,2800
2019 Yamaha yzf,2019,4500,400
2016 Yamaha yzfr,2016,4000,2600
2017 Yamaha ninja,2017,3250,300
2016 Yamaha yzf r3,2016,4000,2000
2014 Yamaha yzf,2014,1234,1200
2021 Yamaha yzf,2021,4800,2200
2019 Yamaha yzf,2019,5000,7900
-,yamaha r3,"Atlanta, GA",3883.74
2019 Yamaha yzf,2019,5000,1500
2024 Yamaha yzf,2024,5499,300
2017 Yamaha yzf-r3 abs,2017,2250,2000
2017 Yamaha yzf,2017,1234,300
2020 Yamaha yzf,2020,5500,100
2019 Yamaha r3 abs,2019,4000,9900
2017 Yamaha r3 abs,2017,4500,6400
2015 Yamaha yzf,2015,3500,3500
2024 Yamaha yzf,2024,5499,300
2018 Yamaha yzfr,2018,3800,1900
2012 Honda Cbr250r,2012,2800,2000
2024 Yamaha yzf,2024,5499,300
2020 Yamaha yzf-r3,2020,4000,1100
2022 Yamaha yzf,2022,1234,1200
2021 Yamaha yzfr,2021,4977,976
2018 Suzuki gsx250r,2018,4500,2500
2009 Yamaha fz,2009,4300,2500
2006 Yamaha yzf,2006,3800,2400
2003 Yamaha yzf600r,2003,2500,5300
2012 Kawasaki \ud83e\udd77  ninja,2012,3600,2400
2021 Yamaha yzf,2021,4500,3500
2020 Kawasaki ninja,2020,5600,300
2021 Kawasaki ninja 400 abs,2021,1234,5800
-,yamaha r3,"Newark, NJ",4419.39
2020 Yamaha yzf,2020,4650,1300
2019 Yamaha yzf,2019,5000,3100
2021 Yamaha yzfr,2021,4000,300
2024 Yamaha r3,2024,5499,-1
2017 Yamaha yzf,2017,3800,300
2020 Yamaha r3 abs,2020,4900,3500
2015 Yamaha yzfr,2015,4000,400
2017 Yamaha yzf,2017,4900,454
2016 Yamaha yzf r3,2016,4000,2000
2019 Yamaha yzf,2019,4500,2800
2019 Yamaha yzf,2019,5000,7900
2017 Yamaha ninja,2017,3250,300
2018 Yamaha yzf,2018,4350,5600
2021 Yamaha yzf,2021,4800,2200
2016 Yamaha yzfr,2016,4000,2600
2019 Yamaha yzf,2019,4500,400
2021 Yamaha yzf,2021,5100,300
2015 Kawasaki sports bike,2015,3300,6400
-,yamaha r3,"Cleveland, OH",4943.6
2017 Yamaha yzf,2017,3800,1900
2021 Yamaha yzfr,2021,3500,1500
2014 Honda cbr,2014,4500,600
2024 Yamaha yzfr,2024,6736,300
2023 Kawasaki ninja,2023,5000,100
2012 Yamaha yzf-r1,2012,8500,2700
2015 Yamaha yzfr,2015,3700,5800
2022 Yamaha mt,2022,4500,1500
2021 Yamaha r3 - moto gp edition,2021,5500,2100
2015 Yamaha yzf,2015,3700,1300
-,yamaha r3,"Charlotte, NC",4145.89
2016 Yamaha yzf,2016,3500,1600
2019 Yamaha r3 abs,2019,4000,9900
2020 Yamaha yzfr,2020,3500,2500
2023 Kawasaki ninja,2023,1234,2500
2023 Kawasaki ninja,2023,4995,2100
2021 Yamaha yzf,2021,4000,1400
2022 Yamaha mt,2022,4099,1300
